医院组织 id,公众号名称,公众号类型,公众号 appid,文章 id,文章标题,文章内容,文章 url,文章发布日期,oa_文章位置,oa_推送人数,oa_阅读来源,oa_阅读人数,oa_原文页阅读人数,oa_分享人数,oa_拇指赞人数,oa_收藏人数,oa_留言条数,oa_阅读后关注人数,oa_阅读送达率,oa_阅读完成率,oa_平均阅读时长（分钟）,oa_阅读跳出率,oa_统计日期,oa_每日阅读人数,oa_每日分享人数
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,5623,"公众号消息:5550,聊天会话:58,公众号主页:7,推荐:14,搜一搜:1,朋友圈:0,其他:0",5623,0,43,18,7,1,0,0.00983016006649,0.227458655834,1.10401332378,0.0829240679741,2026-02-28,5623,43
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,14603,"公众号消息:8823,聊天会话:119,朋友圈:1,公众号主页:16,其他:2,推荐:31,搜一搜:6",14603,0,122,40,11,3,0,0.0156272966415,0.233853012323,1.20502340794,0.0800047442317,2026-03-01,8980,79
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,23994,"公众号消息:9211,聊天会话:124,朋友圈:1,公众号主页:22,其他:3,推荐:31,搜一搜:19",23994,0,204,44,11,4,1,0.0163145232946,0.235012248158,1.22384810448,0.08216843009,2026-03-02,9391,82
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,33510,"公众号消息:9326,聊天会话:128,朋友圈:1,公众号主页:24,其他:4,推荐:31,搜一搜:22",33510,0,286,45,12,4,1,0.0165182109922,0.23549811542,1.2329158783,0.0834081694484,2026-03-03,9516,82
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,43073,"公众号消息:9363,聊天会话:129,朋友圈:1,公众号主页:29,其他:4,推荐:31,搜一搜:26",43073,0,369,45,12,4,1,0.0165837444365,0.235386386514,1.23829734325,0.0839762911201,2026-03-04,9563,83
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,52684,"公众号消息:9395,聊天会话:130,朋友圈:1,公众号主页:38,其他:4,推荐:31,搜一搜:33",52684,0,452,45,12,4,1,0.0166404228657,0.235251277685,1.24181640148,0.0844191983342,2026-03-05,9611,83
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,62339,"公众号消息:9429,聊天会话:132,朋友圈:1,公众号主页:40,其他:4,推荐:31,搜一搜:39",62339,0,536,45,12,4,1,0.0167006440461,0.234697043896,1.24590933323,0.084610261023,2026-03-06,9655,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,72009,"公众号消息:9442,聊天会话:133,朋友圈:1,公众号主页:40,其他:4,推荐:31,搜一搜:40",72009,0,620,45,12,4,1,0.0167236700654,0.23474663496,1.24715411663,0.0849318131804,2026-03-07,9670,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,81690,"公众号消息:9447,聊天会话:133,朋友圈:1,公众号主页:46,其他:4,推荐:31,搜一搜:40",81690,0,704,45,12,4,1,0.0167325250804,0.234686493874,1.24662840366,0.0851983129978,2026-03-08,9681,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,91379,"公众号消息:9454,聊天会话:133,朋友圈:1,公众号主页:47,其他:4,推荐:31,搜一搜:41",91379,0,788,45,12,4,1,0.0167449247092,0.234595939517,1.24669861794,0.0855845883489,2026-03-09,9689,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,101075,"公众号消息:9458,聊天会话:133,朋友圈:1,公众号主页:48,其他:4,推荐:31,搜一搜:44",101075,0,872,45,12,4,1,0.0167520083487,0.234426572919,1.24638259411,0.0857585445046,2026-03-10,9696,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,110775,"公众号消息:9460,聊天会话:133,朋友圈:1,公众号主页:48,其他:4,推荐:31,搜一搜:46",110775,0,956,45,12,4,1,0.0167555510998,0.234329894185,1.24628198147,0.0857490599155,2026-03-11,9700,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,120482,"公众号消息:9465,聊天会话:133,朋友圈:1,公众号主页:49,其他:4,推荐:31,搜一搜:47",120482,0,1040,45,12,4,1,0.0167644079775,0.234263926744,1.24724245071,0.0858122333884,2026-03-12,9707,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,130199,"公众号消息:9470,聊天会话:134,朋友圈:1,公众号主页:50,其他:4,推荐:31,搜一搜:50",130199,0,1124,45,12,4,1,0.0167732629925,0.234125763178,1.24667322636,0.0858753323555,2026-03-13,9717,84
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491302_1,45岁男子深夜血管“撕裂”！医生提醒：春节高发，这件事不能“放假”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491302&idx=1&sn=6c2dde94e64a77410bf0a119a57715fa&chksm=87f0da1cb087530a47d6474cdc2280dd3d449ca38173d86a011a0d028f13c6222e879b6b6250#rd,2026-02-28,1,139919,"公众号消息:9470,聊天会话:134,朋友圈:1,公众号主页:51,其他:4,推荐:31,搜一搜:52",139919,0,1208,45,12,4,1,0.0167732629925,0.234259262681,1.24667441845,0.0858468711376,2026-03-14,9720,84
