医院组织 id,公众号名称,公众号类型,公众号 appid,文章 id,文章标题,文章内容,文章 url,文章发布日期,oa_文章位置,oa_推送人数,oa_阅读来源,oa_阅读人数,oa_原文页阅读人数,oa_分享人数,oa_拇指赞人数,oa_收藏人数,oa_留言条数,oa_阅读后关注人数,oa_阅读送达率,oa_阅读完成率,oa_平均阅读时长（分钟）,oa_阅读跳出率,oa_统计日期,oa_每日阅读人数,oa_每日分享人数
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_1,连续坐车45小时后，女子心跳骤停进了抢救室！这种病两类人群会高发,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=1&sn=e60261903db5977bc2a2364435ba7c3f&chksm=87f0dad2b08753c46a926ea43eb8b972cabd9e63da3a33be844490bfbcdfa0060045545b1d54#rd,2026-03-06,1,33711,"公众号消息:2099,聊天会话:29,朋友圈:75,公众号主页:50,其他:2,推荐:3,搜一搜:34",33711,0,554,16,2,1,0,0.00371100474149,0.186567157507,1.90231275558,0.181004479527,2026-03-21,2278,38
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_1,连续坐车45小时后，女子心跳骤停进了抢救室！这种病两类人群会高发,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=1&sn=e60261903db5977bc2a2364435ba7c3f&chksm=87f0dad2b08753c46a926ea43eb8b972cabd9e63da3a33be844490bfbcdfa0060045545b1d54#rd,2026-03-06,1,35992,"公众号消息:2101,聊天会话:29,朋友圈:75,公众号主页:51,其他:2,推荐:3,搜一搜:34",35992,0,592,16,2,1,0,0.00371454074048,0.187198594213,1.90364897251,0.181231379509,2026-03-22,2281,38
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_2,“吃得香”却“排不出”！做到这几点，让老年生活更加“顺畅”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=2&sn=cdc1d476be3bdf439d2e563d4905cb03&chksm=87f0dad2b08753c4832e08954c73f24e9718eb6eb0b3b02e29dd37aa2cef6a927da93afc76e0#rd,2026-03-06,2,6580,"公众号消息:438,聊天会话:15,公众号主页:36,其他:4,搜一搜:74,朋友圈:0,推荐:0",6580,0,212,7,3,0,1,0.000774378306232,0.181494668126,1.6615473032,0.171764701605,2026-03-20,562,19
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_2,“吃得香”却“排不出”！做到这几点，让老年生活更加“顺畅”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=2&sn=cdc1d476be3bdf439d2e563d4905cb03&chksm=87f0dad2b08753c4832e08954c73f24e9718eb6eb0b3b02e29dd37aa2cef6a927da93afc76e0#rd,2026-03-06,2,7147,"公众号消息:439,聊天会话:15,公众号主页:36,其他:4,搜一搜:78,朋友圈:0,推荐:0",7147,0,231,7,3,0,1,0.000776146305725,0.181657850742,1.66296720505,0.170163169503,2026-03-21,567,19
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_2,“吃得香”却“排不出”！做到这几点，让老年生活更加“顺畅”,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=2&sn=cdc1d476be3bdf439d2e563d4905cb03&chksm=87f0dad2b08753c4832e08954c73f24e9718eb6eb0b3b02e29dd37aa2cef6a927da93afc76e0#rd,2026-03-06,2,7722,"公众号消息:444,聊天会话:15,公众号主页:36,其他:5,搜一搜:80,朋友圈:0,推荐:0",7722,0,250,7,3,0,1,0.00078498624498,0.184347823262,1.68104863167,0.171624720097,2026-03-22,575,19
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_3,60年吃饭“堵车”，一朝解决病痛！患者：终于能平躺睡觉了,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=3&sn=833c08b764a5a7778e6c6d11d1998744&chksm=87f0dad2b08753c493a0cc297a000d40e59829828eea35139c7dd5974bca38f7f975beb31b8d#rd,2026-03-06,3,4036,"公众号消息:269,聊天会话:1,朋友圈:50,公众号主页:20,其他:1,搜一搜:27,推荐:0",4036,0,53,8,0,0,0,0.000475588516565,0.10899182409,1.57826924324,0.33590734005,2026-03-20,367,5
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_3,60年吃饭“堵车”，一朝解决病痛！患者：终于能平躺睡觉了,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=3&sn=833c08b764a5a7778e6c6d11d1998744&chksm=87f0dad2b08753c493a0cc297a000d40e59829828eea35139c7dd5974bca38f7f975beb31b8d#rd,2026-03-06,3,4404,"公众号消息:269,聊天会话:1,朋友圈:50,公众号主页:20,其他:1,搜一搜:28,推荐:0",4404,0,58,8,0,0,0,0.000475588516565,0.108695648611,1.57509577274,0.334615379572,2026-03-21,368,5
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_3,60年吃饭“堵车”，一朝解决病痛！患者：终于能平躺睡觉了,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=3&sn=833c08b764a5a7778e6c6d11d1998744&chksm=87f0dad2b08753c493a0cc297a000d40e59829828eea35139c7dd5974bca38f7f975beb31b8d#rd,2026-03-06,3,4772,"公众号消息:269,聊天会话:1,朋友圈:50,公众号主页:20,其他:1,搜一搜:28,推荐:0",4772,0,63,8,0,0,0,0.000475588516565,0.108695648611,1.57509577274,0.334615379572,2026-03-22,368,5
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_4,如何抓住春季长高黄金期，帮孩子“蹿个子”？看这里→,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=4&sn=6781791b06ebbcf8d873c9b1b6f1a13b&chksm=87f0dad2b08753c4fe8547e1b52c23f7ee9e61b62ff008685d1ded732725ce8313a1d00f5351#rd,2026-03-06,4,4162,"公众号消息:299,聊天会话:11,公众号主页:9,其他:2,搜一搜:61,朋友圈:0,推荐:0",4162,0,174,2,2,0,3,0.000528628122993,0.345744669437,1.03364777565,0.151612907648,2026-03-20,376,15
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_4,如何抓住春季长高黄金期，帮孩子“蹿个子”？看这里→,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=4&sn=6781791b06ebbcf8d873c9b1b6f1a13b&chksm=87f0dad2b08753c4fe8547e1b52c23f7ee9e61b62ff008685d1ded732725ce8313a1d00f5351#rd,2026-03-06,4,4541,"公众号消息:302,聊天会话:11,公众号主页:9,其他:2,搜一搜:61,朋友圈:0,推荐:0",4541,0,189,3,2,0,3,0.000533932063263,0.345646440983,1.02923154831,0.153354629874,2026-03-21,379,15
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491368_4,如何抓住春季长高黄金期，帮孩子“蹿个子”？看这里→,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491368&idx=4&sn=6781791b06ebbcf8d873c9b1b6f1a13b&chksm=87f0dad2b08753c4fe8547e1b52c23f7ee9e61b62ff008685d1ded732725ce8313a1d00f5351#rd,2026-03-06,4,4922,"公众号消息:303,聊天会话:11,公众号主页:9,其他:3,搜一搜:61,朋友圈:0,推荐:0",4922,0,204,3,2,0,3,0.000535700062755,0.343832015991,1.02923154831,0.153354629874,2026-03-22,381,15
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491415_1,胳膊稍一用力就疼！这病专盯30-50岁人群，家庭主妇、白领都容易中招！,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491415&idx=1&sn=916953df6549902287f0741e84a36124&chksm=87f0daadb08753bb64e443b05444c318aca23532bbc9698205e37244ca421cc9e9485466f3f5#rd,2026-03-13,1,22564,"公众号消息:2857,聊天会话:110,朋友圈:111,公众号主页:29,其他:5,推荐:1,搜一搜:74",22564,0,783,20,19,0,2,0.00503752147779,0.141500473022,1.01372349262,0.250343888998,2026-03-20,3159,108
1005657,杭州师范大学附属医院,订阅号,wxb946acbb0c6d9de6,2649491415_1,胳膊稍一用力就疼！这病专盯30-50岁人群，家庭主妇、白领都容易中招！,,http://mp.weixin.qq.com/s?__biz=MzA4NDM1NjExNw==&mid=2649491415&idx=1&sn=916953df6549902287f0741e84a36124&chksm=87f0daadb08753bb64e443b05444c318aca23532bbc9698205e37244ca421cc9e9485466f3f5#rd,2026-03-13,1,25750,"公众号消息:2880,聊天会话:110,朋友圈:111,公众号主页:31,其他:5,推荐:1,搜一搜:76",25750,0,891,21,19,0,2,0.00507807545364,0.141242936254,1.01941800117,0.251026004553,2026-03-21,3186,108
